rank,team,solved,penalty,problems
1,Profesional grant-catchable-430,750,16,1 1 try | score_cell || 4 1 try | score_cell || 8 1 try | score_cell || 16 1 try | score_cell
2,anywhere-expose-411,750,24,1 1 try | score_cell || 3 1 try | score_cell || 7 1 try | score_cell || 24 1 try | score_cell
3,trowel-clerical-1409,750,30,1 1 try | score_cell || 5 1 try | score_cell || 8 1 try | score_cell || 30 1 try | score_cell
4,Sekolah conjoined-hatching-705,750,38,0 1 try | score_cell || 2 1 try | score_cell || 7 1 try | score_cell || 26 5 tries | score_cell
5,Kuliah express-salsa-204,750,41,8 1 try | score_cell || 11 1 try | score_cell || 18 1 try | score_cell || 38 2 tries | score_cell
6,charbroil-outdated-13,750,43,1 1 try | score_cell || 2 1 try | score_cell || 28 4 tries | score_cell || 31 2 tries | score_cell
7,jot-growl-951,750,51,32 2 tries | score_cell || 36 2 tries | score_cell || 42 2 tries | score_cell || 28 1 try | score_cell
8,irritable-estimate-155,750,62,1 1 try | score_cell || 5 1 try | score_cell || 16 4 tries | score_cell || 47 3 tries | score_cell
9,tremor-graceful-31,750,62,1 1 try | score_cell || 8 1 try | score_cell || 19 1 try | score_cell || 59 2 tries | score_cell
10,outsource-immorally-981,750,65,15 1 try | score_cell || 34 1 try | score_cell || 42 1 try | score_cell || 62 2 tries | score_cell
11,shove-ablaze-938,750,69,2 1 try | score_cell || 7 1 try | score_cell || 28 2 tries | score_cell || 66 1 try | score_cell
12,panther-job-1276,750,74,41 2 tries | score_cell || 58 1 try | score_cell || 65 1 try | score_cell || 71 1 try | score_cell
13,angelic-snowflake-1006,750,83,5 1 try | score_cell || 38 1 try | score_cell || 66 1 try | score_cell || 83 1 try | score_cell
14,epileptic-excluding-1167,750,89,9 1 try | score_cell || 14 1 try | score_cell || 24 3 tries | score_cell || 74 4 tries | score_cell
15,violet-outplayed-1249,750,92,14 1 try | score_cell || 21 1 try | score_cell || 35 4 tries | score_cell || 80 2 tries | score_cell
16,unbaked-consoling-632,750,93,17 1 try | score_cell || 3 2 tries | score_cell || 9 1 try | score_cell || 75 6 tries | score_cell
17,theorize-ankle-1080,750,100,19 1 try | score_cell || 25 1 try | score_cell || 91 2 tries | score_cell || 88 3 tries | score_cell
18,jelly-channel-1616,750,100,97 1 try | score_cell || 96 1 try | score_cell || 89 1 try | score_cell || 79 2 tries | score_cell
19,frostlike-absence-806,750,101,29 1 try | score_cell || 42 1 try | score_cell || 64 2 tries | score_cell || 98 1 try | score_cell
20,gradient-sandlot-1411,750,104,26 1 try | score_cell || 30 1 try | score_cell || 36 1 try | score_cell || 98 3 tries | score_cell
21,dock-overhung-1066,750,107,37 1 try | score_cell || 39 1 try | score_cell || 54 3 tries | score_cell || 101 1 try | score_cell
22,profile-equate-1017,750,132,21 1 try | score_cell || 23 1 try | score_cell || 29 3 tries | score_cell || 93 12 tries | score_cell
23,borrower-ammonium-958,750,137,123 2 tries | score_cell || 12 3 tries | score_cell || 63 1 try | score_cell || 125 2 tries | score_cell
24,publisher-twentieth-1050,750,142,15 1 try | score_cell || 23 1 try | score_cell || 54 4 tries | score_cell || 133 1 try | score_cell
25,mute-pushy-864,750,150,4 2 tries | score_cell || 71 1 try | score_cell || 123 1 try | score_cell || 147 1 try | score_cell
26,unfunded-botanist-109,750,152,149 1 try | score_cell || 148 1 try | score_cell || 103 2 tries | score_cell || 144 1 try | score_cell
27,fabric-epilepsy-225,750,157,48 1 try | score_cell || 82 1 try | score_cell || 130 3 tries | score_cell || 151 1 try | score_cell
28,chewable-twice-1384,750,159,43 3 tries | score_cell || 49 1 try | score_cell || 84 3 tries | score_cell || 141 3 tries | score_cell
29,chooser-challenge-909,750,160,4 2 tries | score_cell || 10 1 try | score_cell || 45 3 tries | score_cell || 136 6 tries | score_cell
